date,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,ad_id,ad_title,ad_valence,ad_sponsor,target_candidate,attacking_candidate,estimate_type,attack,general,pro_clinton,pro_sanders,pro_cruz,pro_kasich,pro_trump,anti_clinton,anti_trump,date_numeric,attack_d,general_d,pro_clinton_d,pro_sanders_d,pro_trump_d,pro_cruz_d,pro_kasich_d,anti_clinton_d,anti_trump_d,pac,pac_d,date_d,attack_general_d,attack_date_d
2016-06-20,ad_id_fac42,0.03719255578085093,0.02463983977294286,1.5094479559762508,0.13134365602421527,-0.011130137196722387,0.08551524875842424,1983,general_vote_HC,42,Moments,Pro Clinton,clinton,TRUE,FALSE,target_candidate,0,1,1,0,0,0,0,0,0,46.46680355920602,-0.8823529411764706,0,0.9411764705882353,0,-0.058823529411764705,0,0,-0.3235294117647059,-0.5588235294117647,0,-0.17647058823529413,-0.21870596287796928,-0,0.19035641796276861
2016-07-04,ad_id_fac45,0.04980617845395094,0.0317045315793241,-1.5709482516509317,0.11635420446021442,0.11198386952756767,-0.012371512619665799,1983,general_vote_HC,45,Stop Clinton,Anti Clinton,nra political victory fund,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,46.50513347022587,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,0.6764705882352942,-0.5588235294117647,1,0.8235294117647058,-0.18037605185811856,0,-0.023840143618747627
2016-07-18,ad_id_fac48,-0.004755242130377535,0.02966559217235896,0.16029486627973843,0.8726651454781564,0.053423796355480474,-0.06293428061623554,1981,general_vote_HC,48,Same Old,Anti Clinton,rebuilding america now,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,46.54346338124572,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,0.6764705882352942,-0.5588235294117647,1,0.8235294117647058,-0.14204614083826783,0,-0.0193307423222946
2016-08-01,ad_id_fac51,-0.03482026425888787,0.028099349511264683,1.2391839976554924,0.21542342042820645,0.02028694908912073,-0.08992747760689648,1991,general_vote_HC,51,Outsource,Anti Clinton,rebuilding america now,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,46.58179329226557,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,0.6764705882352942,-0.5588235294117647,1,0.8235294117647058,-0.1037162298184171,0,-0.014821341025841574
2016-08-22,ad_id_fac56,-0.05945038758385085,0.04458659901135087,-1.3333689696474933,0.18271684670050864,-0.14694526834171176,0.02804449317401006,992,general_vote_HC,56,Depend,Pro Clinton,clinton,TRUE,FALSE,target_candidate,0,1,1,0,0,0,0,0,0,46.639288158795345,-0.8823529411764706,0,0.9411764705882353,0,-0.058823529411764705,0,0,-0.3235294117647059,-0.5588235294117647,0,-0.17647058823529413,-0.04622136328864457,-0,0.038164124207482115
2016-08-22,ad_id_fac57,0.05488475815726565,0.04540852269389938,-1.2086884774306783,0.227070573270035,0.14399254764087027,-0.03422303132633897,992,general_vote_HC,57,2 Americas: Immigration,Anti Clinton,trump,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,46.639288158795345,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,0.6764705882352942,-0.5588235294117647,0,-0.17647058823529413,-0.04622136328864457,0,-0.008057239081162449
2016-08-29,ad_id_fac58,-0.0037033927524674493,0.04286910116776417,0.08638839284207459,0.9311751244004298,0.08042124562617183,-0.08782803113110672,991,general_vote_HC,58,2 Americas: Economy,Anti Clinton,trump,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,46.65845311430527,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,0.6764705882352942,-0.5588235294117647,0,-0.17647058823529413,-0.027056407778722757,0,-0.005802538432936354
2016-09-12,ad_id_fac61,-0.0338249553428594,0.04162084331718218,0.8126926954624094,0.4165898519829073,0.04785035288186204,-0.11550026356758084,989,general_vote_HC,61,Deplorables,Anti Clinton,trump,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,46.69678302532512,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,0.6764705882352942,-0.5588235294117647,0,-0.17647058823529413,0.011273503241127969,0,-0.001293137136483326
2016-09-26,ad_id_fac64,-0.025635211059298058,0.0477514765351642,0.5368464583586285,0.5915331028081556,0.06810744462189199,-0.1193778667404881,749,general_vote_HC,64,Defenseless,Anti Clinton,nra political victory fund,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,46.73511293634497,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,0.6764705882352942,-0.5588235294117647,1,0.8235294117647058,0.049603414260978695,0,0.0032162641599697015
2016-10-03,ad_id_fac65,-0.0033880728904549517,0.04478930174858962,0.07564469099055869,0.9397223083023256,0.08454174721112487,-0.09131789299203477,737,general_vote_HC,65,50-pts?,Anti Clinton,trump,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,46.75427789185489,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,0.6764705882352942,-0.5588235294117647,0,-0.17647058823529413,0.0687683697709005,0,0.005470964808195798
2016-10-17,ad_id_fac67,-0.07501644239822369,0.037115746396256394,2.0211486951476227,0.04362346716742852,-0.002151901133900208,-0.14788098366254718,741,general_vote_HC,67,Change,Anti Clinton,trump,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,46.79260780287474,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,0.6764705882352942,-0.5588235294117647,0,-0.17647058823529413,0.10709828079075123,0,0.009980366104648825
2016-10-24,ad_id_fac69,-0.015550830360710088,0.041315413219972195,0.3763929523810909,0.7067343032674376,0.0655605575754311,-0.09666221829685127,729,general_vote_HC,69,Laura,Anti Clinton,trump,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,46.81177275838467,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,0.6764705882352942,-0.5588235294117647,0,-0.17647058823529413,0.12626323630068015,0,0.012235066752875758
2016-11-07,ad_id_fac76,-0.07477061346075858,0.04408117021217842,1.6962030068816438,0.09026632782756695,0.011767861799293053,-0.16130908872081023,743,general_vote_HC,76,Unfit to Serve,Anti Clinton,trump,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,1,0,46.85010266940452,0.11764705882352944,0,-0.058823529411764705,0,-0.058823529411764705,0,0,0.6764705882352942,-0.5588235294117647,0,-0.17647058823529413,0.16459314732053087,0,0.016744468049328786
