subject_id,gender_sr,age_sr,party,party_dem,party_rep,ideo,ideo_lib,ideo_con,peoria_treat,imm_treat,ubi_treat,peoria_targeting,imm_targeting,ubi_targeting,target_dummy,treat_dummy,persuade,peoria_cond
1,2,45,2,NA,2,3,NA,NA,targeting,naive,single_best,cov_profile_2,NA,NA,1,0,4,control
1,2,45,2,NA,2,3,NA,NA,targeting,naive,single_best,cov_profile_2,NA,NA,0,NA,4,control
1,2,45,2,NA,2,3,NA,NA,targeting,naive,single_best,cov_profile_2,NA,NA,0,NA,4,control
2,2,24,1,2,NA,1,2,NA,single_best,targeting,single_best,NA,cov_profile_3,NA,0,1,4,video
2,2,24,1,2,NA,1,2,NA,single_best,targeting,single_best,NA,cov_profile_3,NA,0,NA,1,video
2,2,24,1,2,NA,1,2,NA,single_best,targeting,single_best,NA,cov_profile_3,NA,1,NA,7,video
3,1,21,3,NA,NA,2,NA,1,targeting,targeting,control,cov_profile_3,cov_profile_3,NA,1,1,4,video
3,1,21,3,NA,NA,2,NA,1,targeting,targeting,control,cov_profile_3,cov_profile_3,NA,0,NA,5,video
3,1,21,3,NA,NA,2,NA,1,targeting,targeting,control,cov_profile_3,cov_profile_3,NA,1,NA,3,video
4,1,22,2,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,22,2,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,22,2,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2,41,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2,41,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2,41,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,22,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,22,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,22,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,18,2,NA,1,2,NA,1,NA,NA,targeting,NA,NA,cov_profile_2,NA,NA,NA,NA
7,1,18,2,NA,1,2,NA,1,NA,NA,targeting,NA,NA,cov_profile_2,1,NA,NA,NA
7,1,18,2,NA,1,2,NA,1,NA,NA,targeting,NA,NA,cov_profile_2,NA,NA,NA,NA
8,1,18,2,NA,1,2,NA,1,single_best,targeting,single_best,NA,cov_profile_2,NA,0,0,2,control
8,1,18,2,NA,1,2,NA,1,single_best,targeting,single_best,NA,cov_profile_2,NA,0,NA,7,control
